pkt,Channel,ant_info,phi_info,mag_info,theta_info,time_stamp
9,16,(-140-163j),-139.34086006469127,214.8697279748825,-1.1612533354026735,1534.75
9,16,(-83+208j),-21.753900559003707,223.9486548296283,-0.18128280712196634,1536.0
9,16,(3+196j),0.8769077414306453,196.02295783912658,0.0073075645317337325,1536.25
9,16,(87+118j),36.40091128922253,146.60491124106312,0.30334234451506703,1536.5
9,16,(128+18j),81.99527114270714,129.2594290564522,0.6833101239120165,1536.75
9,16,(-118-112j),-133.50566640873348,162.68988905276197,-1.1126171450832958,1538.0
9,16,(-150-60j),-111.80140948635182,161.55494421403512,-0.9317194756309902,1538.25
9,16,(-162+3j),-88.93908830973577,162.02777539668932,-0.7411797406753933,1538.5
9,16,(-150+59j),-68.52863167608541,161.1862276995153,-0.5710813863701447,1538.75
9,16,(126+111j),48.621484704117336,167.91962362987834,0.4051824163806706,1540.0
9,16,(151+28j),79.49493613008265,153.57408635573907,0.6624725616927405,1540.25
9,16,(134-57j),113.04359780015577,145.6193668438371,0.9420724290094911,1540.5
9,16,(71-137j),152.60463333666402,154.30489298787643,1.2718097159629096,1540.75
9,16,(-175+42j),-76.50426671920418,179.96944185055418,-0.6375487125098855,1542.0
9,16,(-145+107j),-53.57523263983523,180.20543831971332,-0.4464647901815516,1542.25
9,16,(-86+159j),-28.408091308320127,180.76780686836912,-0.23673476781610192,1542.5
9,16,(-20+179j),-6.375320974808497,180.1138528820035,-0.053127682403250484,1542.75
9,16,(168-58j),109.0466242976358,177.73013250431114,0.9087599709553901,1544.0
9,16,(167-76j),114.46979861245414,183.48024416813925,0.9539590628646403,1544.25
9,16,(183-59j),107.86954829965323,192.27584351654787,0.8989497836455521,1544.5
9,16,(205-42j),101.57842057211742,209.25821369781403,0.8465176349847904,1544.75
9,16,(-56-208j),-164.9315118405078,215.40659228538016,-1.374561116253176,1546.0
9,16,(-136-164j),-140.33215888165958,213.0539837693724,-1.169515867961063,1546.25
9,16,(-187-99j),-117.89727103094764,211.5892246783848,-0.982525412159511,1546.5
9,16,(-213-12j),-93.22452260651993,213.3377603707323,-0.7768948277074804,1546.75
9,16,(95+193j),26.20770167651395,215.11392330576837,0.2183980428415137,1548.0
9,16,(156+113j),54.08196957282877,192.62658175859323,0.4506877273799323,1548.25
9,16,(159+9j),86.76029970389789,159.25451327984396,0.7230216866056399,1548.5
9,16,(114-92j),128.9041384554042,146.4923206178399,1.0742640941273964,1548.75
9,16,(-169+18j),-83.92041104216152,169.95587662684687,-0.6993541243597573,1550.0
9,16,(-150+76j),-63.13018691250093,168.15469068687915,-0.5260922833713936,1550.25
9,16,(-102+127j),-38.76967538599436,162.88953311984167,-0.32308234036916156,1550.5
9,16,(-44+153j),-16.044266863203628,159.20113064925135,-0.13370234520462668,1550.75
9,16,(159-40j),104.12100047638758,163.95426191471816,0.8677081719914779,1552.0
9,16,(111-107j),133.94881925045627,154.17522498767434,1.1163107841425952,1552.25
9,16,(32-143j),167.3863725459813,146.53668482670133,1.3950242653891989,1552.5
9,16,(-70-144j),-154.07509849244556,160.11246047700348,-1.2840666409371544,1552.75
9,16,(-94+150j),-32.07400087529405,177.0197729068705,-0.2672843100729745,1554.0
9,16,(-25+177j),-8.039444550836647,178.7568180517879,-0.06699538652342511,1554.25
9,16,(42+174j),13.570434385161487,178.99720668211557,0.11308702663430734,1554.5
9,16,(113+141j),38.70932922664499,180.6931099959265,0.3225794477252291,1554.75
9,16,(70-160j),156.3706222693432,174.64249196572982,1.3032008826928696,1556.0
9,16,(49-176j),164.44231398246941,182.69373278796402,1.3704832974763024,1556.25
9,16,(63-178j),160.50946949202458,188.8200201249857,1.3377004381684698,1556.5
9,16,(89-182j),153.94085867262618,202.5956564193813,1.2829476950268215,1556.75
9,16,(-209-82j),-111.42228661919376,224.51057881534223,-0.9285597020457832,1558.0
9,16,(-224+3j),-89.23269168491031,224.0200883849482,-0.7436266408753879,1558.25
9,16,(-204+85j),-67.38013505195957,221.0,-0.5615101136623986,1558.5
9,16,(-148+159j),-42.9479346295913,217.22108553268947,-0.3579017827708875,1558.75
10,31,(80+21j),75.29169610031725,82.71033792700887,0.6274433416124073,1570.0
10,31,(83-12j),98.22672246410818,83.86298349093002,0.818583868187171,1570.25
10,31,(70-39j),119.12405349477743,80.1311425102625,0.9927501183801463,1570.5
10,31,(45-63j),144.46232220802563,77.42092740338364,1.203941280189544,1570.75
10,31,(-81-18j),-102.52880770915151,82.97590011563598,-0.8544384003894535,1572.0
10,31,(-79+16j),-78.55066201149997,80.60397012554654,-0.6546030909095423,1572.25
10,31,(-53+54j),-44.46454101443547,75.66372975210778,-0.3705404246974841,1572.5
10,31,(-9+78j),-6.5819446551780105,78.5175139698144,-0.054849547170807644,1572.75
10,31,(91-71j),127.96205923681532,115.42096863222038,1.0664120639175847,1574.0
10,31,(53-104j),152.99590929724036,116.72617529928752,1.2750711544825912,1574.25
10,31,(12-117j),174.14398641457103,117.61377470347595,1.4513550935347723,1574.5
10,31,(-36-112j),-162.18111108547723,117.64352935882194,-1.3516346220303028,1574.75
10,31,(-86+71j),-50.45755348510459,111.5212984142491,-0.42048338678383673,1576.0
10,31,(-52+95j),-28.694904379343445,108.30050784737807,-0.2391248973498257,1576.25
10,31,(-1+102j),-0.561705332566547,102.00490184299969,-0.004680877776594866,1576.5
10,31,(49+85j),29.96218409641775,98.11218069128827,0.24968565775537266,1576.75
10,31,(47-121j),158.7723488113647,129.80754985747168,1.3232205287704155,1578.0
10,31,(-8-126j),-176.3670492605118,126.25371281669304,-1.469886638598214,1578.25
10,31,(-57-113j),-153.23249108070382,126.56223765404908,-1.2770431583966324,1578.5
10,31,(-102-78j),-127.40535663140857,128.40560735419618,-1.0617720753581354,1578.75
10,31,(-21+122j),-9.766679395772696,123.79418403139947,-0.08138902233641983,1580.0
10,31,(16+127j),7.180535497720156,128.00390619039717,0.0598378066918689,1580.25
10,31,(38+120j),17.571258778322424,125.8729518204765,0.14642731587916802,1580.5
10,31,(39+108j),19.855214369321057,114.82595525402782,0.16546034972171977,1580.75
10,31,(75-13j),99.8335639642071,76.11832893594026,0.8319756032251534,1582.0
10,31,(62-46j),126.57303097851934,77.20103626247513,1.0548348448808689,1582.25
10,31,(40-67j),149.16216805531275,78.03204469959762,1.2431155947882102,1582.5
10,31,(7-78j),174.87180895814717,78.31347265956222,1.4574222359497804,1582.75
10,31,(-79+24j),-73.10135130596177,82.56512580987206,-0.6091894053338848,1584.0
10,31,(-64+52j),-50.9061411137705,82.46211251235322,-0.4242217185899709,1584.25
10,31,(-25+73j),-18.904575842611656,77.1621668954417,-0.1575383305224613,1584.5
10,31,(21+76j),15.446316367692557,78.84795495128583,0.12871941134092907,1584.75
10,31,(49-98j),153.43494882292202,109.5673308974897,1.27873072596185,1586.0
10,31,(6-109j),176.84928358673227,109.16501271011697,1.4739065843877193,1586.25
10,31,(-30-104j),-163.90918365114783,108.24047302187847,-1.3660392775929304,1586.5
10,31,(-69-82j),-139.92061603636398,107.16809226630845,-1.1660856317721318,1586.75
10,31,(-47+110j),-23.13569725733583,119.6202324023825,-0.19279784098387429,1588.0
10,31,121j,0.0,121.0,0.0,1588.25
10,31,(56+100j),29.248826336546973,114.61239025515522,0.2437409546426443,1588.5
