pkt,channel,phi_ant1,phi_ant2,phi_ant3,t_ant1,t_ant2,t_ant3,meg_ant1,meg_ant2,meg_ant3
5,8,-75.52970589993413,-105.00891367665872,-84.32697786007469,872.75,872.0,872.25,192.09372712298543,142.8740704256724,151.74320413119
5,8,59.74356283647074,-10.603858259871352,11.849979526480215,874.75,874.0,874.25,222.27910383119686,222.80484734403785,228.87769659798656
5,8,-107.46802325127771,176.72232404780976,-158.83086122564256,876.75,876.0,876.25,149.91330828181998,227.3719419805355,218.7624282183757
5,8,126.48276989169308,55.87505824799411,82.30394827798344,878.75,878.0,878.25,148.0033783398203,146.1677118928801,149.34523762075574
5,8,-33.32121567193958,-115.69699972733244,-93.15794479643928,880.75,880.0,880.25,129.2478239662084,147.59742545180112,145.22052196573318
5,8,170.35559435989197,99.81930063875791,122.66886053401196,882.75,882.0,882.25,155.1934276958918,158.31929762350515,155.6181223379848
5,8,-35.068346680290915,-69.48914071703685,-46.830748648025505,884.75,884.0,884.25,184.4911922016875,148.4082207965583,154.93547043850222
5,8,101.10383343663608,27.03086025984298,53.13010235415598,886.75,886.0,886.25,218.08255317654368,220.0363606316011,225.0
5,8,-66.94172540056323,-141.9112271190247,-118.53245320699727,888.75,888.0,888.25,160.85086260259843,235.05318547086318,234.47814397081873
5,8,173.07655108518946,99.93638994342834,124.5085229876684,890.75,890.0,890.25,141.0283659410404,139.08630414242805,135.91541487263322
5,8,5.61758059012683,-74.49746120836839,-52.726617619097226,892.75,892.0,892.25,122.58874336577564,142.1724305201258,142.00352108310554
5,8,-144.76455787988843,142.9848662152566,166.67546873810917,894.75,894.0,894.25,154.26276284314372,157.8005069700348,156.20499351813308
5,8,5.527540151656172,-28.51554681046433,-5.787242964031514,896.75,896.0,896.25,186.86893802876926,144.53373308677806,148.75819305167695
5,8,144.9041832129739,74.37789973728911,98.97262661489641,898.75,898.0,898.25,226.1083810919003,219.09358730916802,230.8246087400561
5,8,-21.250505507133237,-95.88860874604566,-73.94757599284334,900.75,900.0,900.25,154.50566332662373,224.18296099391682,220.6014505845326
5,8,-149.96671956400488,139.26789330029086,163.26124144157237,902.75,902.0,902.25,147.85127662620977,142.52368224263643,138.88484438555562
5,8,50.02407525853954,-33.690067525979785,-10.692212155284038,904.75,904.0,904.25,129.18978287774928,147.82760229402356,145.52662986546483
5,8,-101.3099324740202,-173.7409636948777,-146.91514707126498,906.75,906.0,906.25,163.1686244349691,155.92947123619703,157.54364474646385
5,8,46.524622773411856,15.658345299019706,38.659808254090095,908.75,908.0,908.25,186.03494295427402,137.0875632579411,140.8687332235227
5,8,-178.97238321355832,110.79716227916384,133.061498230613,910.75,910.0,910.25,223.03587155433087,222.4971909935045,229.9412968563933
5,8,21.326218419142574,-53.33436451735785,-30.96375653207352,912.75,912.0,912.25,156.7322557739791,224.40142602042442,221.57617200412145
5,8,-109.75600099746458,-179.5965152649413,-156.85421664145753,914.75,914.0,914.25,150.88074761214563,142.00352108310554,142.46754016266303
5,8,95.39774877648041,10.16569487954269,35.81945804237385,916.75,916.0,916.25,127.5656693628815,147.31259280862582,141.8238343861849
5,8,-57.72435568542236,-132.37359436170928,-106.20072299647244,918.75,918.0,918.25,157.30543537970962,154.31137352768266,154.12008305214476
5,8,89.69844605013174,61.48445318953568,81.28254303540034,920.75,920.0,920.25,190.00263156072342,144.53373308677806,151.75308893067051
5,8,-128.34260302705417,161.81095430034867,-174.98688624496418,922.75,922.0,922.25,225.67454442182884,221.04524423746372,228.87551201471948
5,8,57.757532160876686,-18.11752392916953,3.608468852566344,924.75,924.0,924.25,153.7010084547268,228.3199509460354,222.44100341438846
5,8,-69.67686317033707,-140.09211512449895,-113.46607586967372,926.75,926.0,926.25,143.96180048887967,143.4015341619468,140.6307221058045
5,8,136.54815769897795,49.06631877480598,75.31480296287849,928.75,928.0,928.25,130.86252328302402,149.57606760441325,149.8966310495336
5,8,-16.942610765909095,-87.39743779750019,-64.2774730836624,930.75,930.0,930.25,157.851195750935,154.1590088188167,152.0690632574555
5,8,132.3974377975002,104.0362434679265,123.25436657471208,932.75,932.0,932.25,186.86893802876926,140.18559127100045,145.89036979869508
5,8,-86.8778695378843,-157.01128319791937,-133.5311992856142,934.75,934.0,934.25,220.32702966272655,215.08137994721903,220.68982758613961
6,23,-134.0122396003602,156.5158847094951,179.29268063145577,946.75,946.0,946.25,164.0731544159495,158.09490820390135,162.01234520862909
6,23,115.75527076016712,-8.530765609948133,17.891877129198228,948.75,948.0,948.25,126.57408897558771,161.78998732925348,133.4541119636259
6,23,-43.069412558833,-117.65887110502734,-91.5398382886236,950.75,950.0,950.25,188.904737897174,187.41664813991315,186.06719216455116
6,23,173.39516450324604,75.45479725882565,106.3895403340348,952.75,952.0,952.25,191.26944345608368,191.12561314486342,177.2004514666935
6,23,10.350885654930524,-64.48080022827938,-38.1718503184229,954.75,954.0,954.25,222.6229997102725,220.51303816327962,220.05681084665386
6,23,134.06844340192254,130.31410016049728,140.74866341728776,956.75,956.0,956.25,173.97126199461795,216.390850083824,211.7829077144801
6,23,-73.81079374297306,-144.5021940036166,-120.67232578233512,958.75,958.0,958.25,161.4001239156897,167.0478973228936,168.58528998699742
