phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12,ave_phi12,ave_phi23,ave_phi13
-2.889826920808118,-1.8892255354237066,-3.928204445884589,11,2428.25,1.8410990844107942,-1.0487278363973236,-0.04812645101291254,-0.24600627706300046
-0.7971879050049624,-1.8231147552368425,-4.583798068735426,35,2476.25,1.8774926831142709,1.0803047781093085,0.054377927877428255,-0.8288127025068839
-0.2688204209946776,-1.7494464472335978,-6.141607226064879,22,2450.25,1.8577794838165542,1.5889590628218766,0.10833303658295645,-2.4260482584317704
-1.831600950508002,-1.8454635282872491,-3.2189155501467397,9,2422.25,1.8365498845728594,0.004948934064857385,-0.008913643714389784,0.45418421899897915
-0.6300564068952124,-1.7373902418367464,-5.770838690120902,33,2472.25,1.8744598832223145,1.2444034763271021,0.13706964138556807,-2.0219189236762727
0.9361361936756252,-1.6539101836754615,-6.542810368530911,20,2446.25,1.8547466839245978,2.790882877600223,0.20083650024913638,-2.833317000681715
-0.36944366196196055,-1.754766670698973,-4.742204210652428,7,2418.25,1.8335170846809028,1.4640734227189423,0.07875041398192965,-1.0751700412906227
-2.812437300649142,-1.9184097980775368,-3.5527498536305067,31,2468.25,1.8714270833303583,-0.9410102173187839,-0.04698271474717841,0.19010431303021016
-1.7234552503116638,-1.8607234167985176,-3.7150783610097564,18,2442.25,1.8517138840326415,0.1282586337209776,-0.00900953276587619,-0.011650592944473312
0.0012557693535535375,-1.7093999775718913,-5.11153624960728,5,2414.25,1.8304842847889466,1.8317400541425002,0.12108430721705526,-1.450567680029387
-0.31507751882810675,-1.776787466890553,-4.7753087106599414,16,2438.25,1.848681084140685,1.5336035653125784,0.07189361725013206,-1.0779465423785712
-2.053314626008109,-1.8901324894658706,-3.2234987990263186,29,2464.25,1.8683942834384017,-0.18492034256970732,-0.021738206027468832,0.5132897678504847
0.3178917754670114,-1.6740292039936377,-5.217678398564081,3,2410.25,1.82745148489699,2.1453432603640015,0.15342228090335228,-1.5627754287701006
-1.6697522493085748,-1.848969830761806,-4.5004697843171915,27,2460.25,1.8653614835464454,0.19560923423787066,0.016391652784639308,-0.7697468172243006
