phi12_correction,phi23_correction,phi13_correction,channel,omega,ex_phi12,ave_phi12,ave_phi23,ave_phi13
-0.1971480961968204,-1.7558783546415666,-5.09461910442818,15,2436.25,1.8474460591778257,1.6502979629810053,0.091567704536259,-1.3997269860725285
-1.4888021397865179,-1.841805806712958,-4.050556262947136,27,2460.25,1.865645630412415,0.3768434906258971,0.023839823699457086,-0.31926500212230674
-0.5648894402008955,-1.670733153303872,-6.358962951341371,2,2408.25,1.826213226070805,1.2613237858699096,0.15548007276693307,-2.706536499199761
-0.5339201815951127,-1.7269314854025148,-5.206094779738058,14,2434.25,1.8459294282416099,1.3120092466464972,0.11899794283909511,-1.5142359232548384
-0.5325374995136223,-1.795005939500554,-4.552838235306947,26,2458.25,1.864128999476199,1.3315914999625766,0.0691230599756449,-0.8245802363545488
0.3084790856630648,-1.6454340155587217,-6.180243604179921,1,2406.25,1.824696595134589,2.133175680797654,0.17926257957586741,-2.530850413910743
-0.480327757868491,-1.7167521386834126,-4.945973468442973,13,2432.25,1.844412797305394,1.364085039436903,0.12766065862198153,-1.2571478738321844
-0.5299867517188221,-1.773725029800182,-4.921705659510499,25,2456.25,1.8626123685399831,1.332625616821161,0.08888733873980109,-1.1964809224305322
-2.085902279949278,-1.8275842519302348,-3.5862372971305763,0,2404.25,1.8231799641983732,-0.2627223157509049,-0.004404287731861525,0.060122631266170345
0.3643974589678114,-1.7055456107087854,-5.202689121778428,12,2430.25,1.8428961663691783,2.2072936253369897,0.13735055566039284,-1.5168967890400713
-0.20155018382427548,-1.7797353898551818,-4.861078839470101,24,2454.25,1.8610957376037673,1.6595455537794919,0.08136034774858555,-1.1388873642625665
-0.0839542997254441,-1.789830512707363,-5.866225476369836,36,2478.25,1.8792953088383566,1.7953410091129125,0.08946479613099366,-2.107634858693123
0.6830949110074962,-1.690729289061535,-5.850923052338304,11,2428.25,1.8413795354329627,2.524474446440459,0.15065024637142774,-2.1681639814723783
0.5650172126834907,-1.7253074756927018,-5.8726792433939,23,2452.25,1.8595791066675516,2.4245963193510423,0.13427163097484976,-2.1535210300587977
-0.2145625195376779,-1.7990754374294369,-5.35158015140627,35,2476.25,1.8777786779021408,1.663216158364463,0.07870324047270383,-1.5960227956019886
0.7971307107707859,-1.6318175686107914,-6.528823542471505,10,2424.25,1.8383462735605312,2.635476984331317,0.20652870494973977,-2.8521309953504432
-0.14938590849033462,-1.744149970624609,-6.278675624750697,22,2450.25,1.858062475731336,1.7086765672410014,0.11391250510672686,-2.562550673288025
