pkt,angle_ant1,angle_ant2,angle_ant3,angle_ant4,Total_angle_average,tetha_ant1,tetha_ant2,tetha_ant3,tetha_ant4
16,44.39281622132616,36.30196649480662,33.5705125419817,35.752792797702156,37.50452201395416,0.3699651176308947,0.3025340697511684,0.2797692124673012,0.2979570274457512
17,42.64113848794632,34.74109442681505,32.05619210354488,34.386780439343966,35.95630136441255,0.35536659844134927,0.2895259456128811,0.2671491499955536,0.2865727685876491
18,43.17831196975646,36.36523230731698,33.55114552625474,35.557519930859506,37.16305243354692,0.3598425118916495,0.30306058782547596,0.2796072906001157,0.2963288930272146
19,38.60866387589908,32.40949755372883,29.619371574616064,31.523040560635124,33.04014339121978,0.3217607469915953,0.2700951384004361,0.24684160399852673,0.2627072405772821
20,42.54778727092342,36.21680730956269,33.57326357382978,35.80676856421518,37.03615667963277,0.35458899568425045,0.30182467659182155,0.2797928210306656,0.2984075921673599
21,39.01413236465475,33.010200519897964,30.495821331517703,32.595195804161435,33.778837505057965,0.3251408002910661,0.27510213955836244,0.2541467491583461,0.27164366790024597
22,37.10348423740537,31.21895718414868,28.729536182160572,30.926422014789402,31.994599904626007,0.3092179407563521,0.26017451177488,0.2394271811325442,0.2577366269263947
23,39.01490880381455,34.153121917004675,31.47830377736617,33.37426320495626,34.50514942578541,0.3251471225683575,0.2846276550526933,0.26233513769062383,0.278136539541703
24,39.74704620256462,34.88440502519579,32.35519470460708,34.27555457851106,35.31555012771963,0.33124776774662684,0.2907212779316523,0.2696422525839126,0.28564696249028537
25,34.3495249391763,31.228557848486368,27.00062876798331,29.036174208364113,30.403721441002524,0.286265199264319,0.2602541241103054,0.2250175696566267,0.24198241040074905
26,36.56621756635314,34.104218094627406,29.742076966831185,31.716031610013218,33.032136059456235,0.3047384458756543,0.2842196090480527,0.24786438979652572,0.2643158659219179
27,38.67722876551231,36.05973870764968,31.804480060494615,33.894991521986405,35.10910976391075,0.3223308494808472,0.30051606682327414,0.2650516563153864,0.28247456170819474
28,38.00989507552549,32.53786901172825,29.871597080817175,31.857861302380034,33.069305617612734,0.3167699663934426,0.2711651128937756,0.2489435912629187,0.26549763849587116
29,38.955076849175796,33.605853979798866,30.980048995947264,32.94077070723194,34.12043763303846,0.32464634199369635,0.28006495337416204,0.25818070767689255,0.2745218698706735
30,37.4066276626282,31.956184283911192,29.386933893476254,31.540675570344295,32.57260535258999,0.31174207311251567,0.2663172429395416,0.2449043417166563,0.26285399855113906
31,36.54373106560129,31.55507070798272,28.924562086238918,30.96307328645019,31.99660928656828,0.30455082223812097,0.262974302049209,0.24105096164514936,0.25804032122936466
32,36.692051046320216,31.590255245458447,29.07923101572681,31.171104829875446,32.13316053434523,0.3057864808729533,0.2632672253052949,0.24233964889913961,0.2597736789371743
33,36.26415535734375,31.698593343692767,29.092751874869432,31.16589456096456,32.05534878421763,0.30222030254323956,0.26416981111602145,0.2424521265401952,0.2597300247380287
34,32.91369368171179,28.50342682725464,25.90346519565253,27.93710903917562,28.814423685948647,0.2742981670737725,0.23754197393288617,0.21587327089326844,0.23282197992072673
35,34.061868509629704,29.997111260341747,27.312134304022912,29.240968071810247,30.15302053645115,0.2838664982581276,0.2499898553274933,0.22761263336361975,0.2436878079306988
36,32.4015746925357,28.537500103719182,25.790732555586068,27.739887553731492,28.61742372639311,0.27003029019371266,0.23782609339840918,0.21493397957648389,0.23117847759468793
37,30.56821858609322,26.62332712929107,23.909429587518606,25.96143377509861,26.765602269500377,0.25475173986437594,0.22187401003830617,0.1992558410099884,0.21635750265199974
38,31.951239718270752,28.117604768908542,25.45255817039629,27.443018939272186,28.24110539921194,0.266277503514664,0.23432703198435115,0.21211601574423858,0.22870473288078574
39,33.8950609666414,30.14668597488462,27.512125930707008,29.43971031313144,30.248395796341118,0.28247761583047326,0.25123775085244443,0.22928080390505026,0.24534544624262367
40,32.27156613440072,27.19048076396481,25.946384865600336,26.552480678237988,27.990228110550962,0.26894749446120125,0.22660037214229634,0.21623195399314799,0.22128301117344337
41,30.886519250754606,24.920030139789148,23.58338042215418,24.092673798398145,25.870650902774017,0.2574047898193658,0.20767872981821192,0.19653886115365912,0.2007830722624387
42,31.527471905786744,25.5936244607984,24.27054522440012,24.825486116954313,26.554281926984892,0.2627459973575982,0.21329200452727057,0.20226523448593103,0.20688986393203826
43,32.410907310056636,26.505931938725936,25.234987249754983,25.770668225133104,27.480623680917667,0.2701080595429287,0.22089470093998473,0.21030242547612518,0.21476654591499073
44,30.52251500569373,24.50707473230414,23.361976483145025,23.967498413916147,25.58976615876476,0.25437068029408466,0.20423665972699379,0.19469325724880082,0.19973945282338637
45,29.91188315370254,24.059628858846228,22.854489210447507,23.497047944422206,25.080762291854622,0.24928190266298042,0.20050782550688803,0.1904640847577402,0.19581892073693524
46,28.380997674113885,22.508507929587328,21.307842393139644,22.042618422899366,23.559991604935053,0.2365238297785188,0.18758107920729847,0.17757462182356587,0.18369806787509046
47,29.374830357744308,23.374785655989143,22.221892106052934,23.059234378222925,24.50768562450233,0.2448062512444051,0.19480037169979855,0.18519205244805478,0.19217034315223105
48,29.262179030627664,23.200378187862515,22.06401383968349,22.966843734413377,24.373353698146758,0.24386733345122202,0.19334687105476378,0.18387630420868564,0.19140032291750048
49,27.613220308189362,21.814731763215953,20.643145633602092,21.458516967583208,22.882403668147653,0.23012508266585022,0.18179923305941112,0.1720351036654712,0.1788301837293182
50,29.027920714223445,23.306692855043654,22.112714679417657,22.942000026002482,24.34733206867181,0.24191555050764765,0.19423363928030235,0.18428283063041873,0.1911939137549462
