pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
15,315,1,0,32,-71,233,50
15,316,1,0,32,-71,194,147
15,317,1,0,32,-71,131,211
15,318,1,0,32,-71,41,238
15,319,1,0,32,-71,-43,221
16,360,1,1,32,-71,59,-241
16,361,1,1,32,-71,144,-193
16,362,1,1,32,-71,205,-120
16,363,1,1,32,-71,233,-37
16,364,1,1,32,-71,233,65
16,365,1,1,32,-71,204,148
16,366,1,1,32,-71,141,212
16,367,1,1,32,-71,64,230
16,376,1,2,32,-71,-287,-353
16,377,1,2,32,-71,-146,-431
16,378,1,2,32,-71,32,-450
16,379,1,2,32,-71,187,-411
16,380,1,2,32,-71,331,-309
16,381,1,2,32,-71,417,-171
16,382,1,2,32,-71,454,17
16,383,1,2,32,-71,423,189
17,264,1,0,32,-71,208,-122
17,265,1,0,32,-71,240,-31
17,266,1,0,32,-71,241,72
17,267,1,0,32,-71,206,151
17,268,1,0,32,-71,132,217
17,269,1,0,32,-71,49,246
17,270,1,0,32,-71,-44,240
17,271,1,0,32,-71,-114,202
17,280,1,1,32,-71,-2,-466
17,281,1,1,32,-71,177,-438
17,282,1,1,32,-71,313,-351
17,283,1,1,32,-71,423,-200
17,284,1,1,32,-71,467,-42
17,285,1,1,32,-71,446,139
17,286,1,1,32,-71,365,283
17,287,1,1,32,-71,215,407
18,232,1,2,32,-71,199,-416
18,233,1,2,32,-71,349,-301
18,234,1,2,32,-71,431,-157
18,235,1,2,32,-71,455,28
18,236,1,2,32,-71,415,186
18,237,1,2,32,-71,304,334
18,238,1,2,32,-71,159,423
18,239,1,2,32,-71,-31,462
18,248,1,0,32,-71,258,-233
18,249,1,0,32,-71,316,-124
18,250,1,0,32,-71,338,15
18,251,1,0,32,-71,315,138
18,252,1,0,32,-71,237,255
18,253,1,0,32,-71,130,325
18,254,1,0,32,-71,-15,353
18,255,1,0,32,-71,-147,326
19,456,1,1,32,-71,-133,-212
19,457,1,1,32,-71,-42,-250
19,458,1,1,32,-71,44,-253
19,459,1,1,32,-71,133,-221
19,460,1,1,32,-71,195,-158
19,461,1,1,32,-71,236,-64
19,462,1,1,32,-71,235,27
19,463,1,1,32,-71,188,118
19,472,1,2,32,-71,-463,-28
19,473,1,2,32,-71,-412,-213
19,474,1,2,32,-71,-301,-347
19,475,1,2,32,-71,-135,-445
19,476,1,2,32,-71,45,-473
19,477,1,2,32,-71,196,-435
19,478,1,2,32,-71,338,-326
19,479,1,2,32,-71,428,-185
20,392,1,0,32,-71,-116,-332
20,393,1,0,32,-71,35,-349
20,394,1,0,32,-71,162,-318
20,395,1,0,32,-71,274,-237
20,396,1,0,32,-71,336,-132
20,397,1,0,32,-71,359,4
20,398,1,0,32,-71,337,127
20,399,1,0,32,-71,268,250
20,408,1,1,32,-71,-43,-238
20,409,1,1,32,-71,57,-242
20,410,1,1,32,-71,138,-214
20,411,1,1,32,-71,207,-149
20,412,1,1,32,-71,241,-67
20,413,1,1,32,-71,243,33
20,414,1,1,32,-71,210,110
20,415,1,1,32,-71,144,173
21,488,1,2,32,-71,-306,-159
21,489,1,2,32,-71,-221,-265
21,490,1,2,32,-71,-97,-345
21,491,1,2,32,-71,22,-367
21,492,1,2,32,-71,154,-334
21,493,1,2,32,-71,256,-250
21,494,1,2,32,-71,334,-114
21,495,1,2,32,-71,362,22
21,504,1,0,32,-71,-190,-159
21,505,1,0,32,-71,-117,-218
21,506,1,0,32,-71,-37,-245
21,507,1,0,32,-71,61,-244
21,508,1,0,32,-71,145,-207
