pkt,sample_idx,ant_array,ant_num,channel,rssi,i,q
21,333,1,2,13,-80,58,176
21,334,1,2,13,-80,-11,187
21,335,1,2,13,-80,-87,166
21,344,1,0,13,-80,110,-15
21,345,1,0,13,-80,110,24
21,346,1,0,13,-80,95,65
21,347,1,0,13,-80,66,93
21,348,1,0,13,-80,21,108
21,349,1,0,13,-80,-39,107
21,350,1,0,13,-80,-87,87
21,351,1,0,13,-80,-118,47
43,72,2,2,35,-75,199,125
43,73,2,2,35,-75,139,196
43,74,2,2,35,-75,53,228
43,75,2,2,35,-75,-55,221
43,76,2,2,35,-75,-143,181
43,77,2,2,35,-75,-210,106
43,78,2,2,35,-75,-234,21
43,79,2,2,35,-75,-215,-79
43,88,2,0,35,-75,-67,138
43,89,2,0,35,-75,-119,94
43,90,2,0,35,-75,-144,40
43,91,2,0,35,-75,-144,-26
43,92,2,0,35,-75,-124,-80
43,93,2,0,35,-75,-81,-126
43,94,2,0,35,-75,-34,-149
43,95,2,0,35,-75,24,-148
44,136,2,1,35,-75,-138,-30
44,137,2,1,35,-75,-112,-93
44,138,2,1,35,-75,-78,-134
44,139,2,1,35,-75,-28,-153
44,140,2,1,35,-75,22,-149
44,141,2,1,35,-75,77,-124
44,142,2,1,35,-75,116,-85
44,143,2,1,35,-75,139,-27
44,152,2,2,35,-75,-208,-22
44,153,2,2,35,-75,-177,-107
44,154,2,2,35,-75,-118,-167
44,155,2,2,35,-75,-31,-202
44,156,2,2,35,-75,51,-202
44,157,2,2,35,-75,131,-163
44,158,2,2,35,-75,183,-92
44,159,2,2,35,-75,199,-12
45,104,2,0,35,-75,-100,191
45,105,2,0,35,-75,-161,137
45,106,2,0,35,-75,-199,51
45,107,2,0,35,-75,-203,-33
45,108,2,0,35,-75,-171,-115
45,109,2,0,35,-75,-117,-168
45,110,2,0,35,-75,-37,-196
45,111,2,0,35,-75,39,-191
45,120,2,1,35,-75,-54,219
45,121,2,1,35,-75,-132,182
45,122,2,1,35,-75,-196,108
45,123,2,1,35,-75,-224,30
45,124,2,1,35,-75,-214,-64
45,125,2,1,35,-75,-171,-142
45,126,2,1,35,-75,-89,-208
45,127,2,1,35,-75,2,-233
46,232,2,2,35,-75,129,-67
46,233,2,2,35,-75,146,-13
46,234,2,2,35,-75,141,47
46,235,2,2,35,-75,113,94
46,236,2,2,35,-75,57,132
46,237,2,2,35,-75,-3,144
46,238,2,2,35,-75,-66,132
46,239,2,2,35,-75,-107,101
46,248,2,0,35,-75,200,-100
46,249,2,0,35,-75,219,-11
46,250,2,0,35,-75,195,70
46,251,2,0,35,-75,136,147
46,252,2,0,35,-75,68,193
46,253,2,0,35,-75,-13,211
46,254,2,0,35,-75,-82,194
46,255,2,0,35,-75,-148,141
47,200,2,1,35,-75,-49,-203
47,201,2,1,35,-75,44,-205
47,202,2,1,35,-75,120,-172
47,203,2,1,35,-75,181,-101
47,204,2,1,35,-75,205,-22
47,205,2,1,35,-75,195,69
47,206,2,1,35,-75,154,138
47,207,2,1,35,-75,82,188
47,216,2,2,35,-75,-113,-199
47,217,2,2,35,-75,-30,-225
47,218,2,2,35,-75,70,-209
47,219,2,2,35,-75,152,-158
47,220,2,2,35,-75,214,-71
47,221,2,2,35,-75,229,19
47,222,2,2,35,-75,195,116
47,223,2,2,35,-75,125,186
48,168,2,0,35,-75,-230,29
48,169,2,0,35,-75,-227,-56
48,170,2,0,35,-75,-179,-144
48,171,2,0,35,-75,-109,-204
48,172,2,0,35,-75,-12,-234
48,173,2,0,35,-75,75,-222
48,174,2,0,35,-75,161,-163
48,175,2,0,35,-75,213,-77
48,184,2,1,35,-75,-32,-149
48,185,2,1,35,-75,29,-149
48,186,2,1,35,-75,84,-126
48,187,2,1,35,-75,122,-84
48,188,2,1,35,-75,141,-36
48,189,2,1,35,-75,138,25
48,190,2,1,35,-75,114,75
